[row=1] 城市分层,省份,城市,天气,温度,配送费,配送费占比,明日天气
[row=63] 三线城市,江西,宜春,中雨,31,0,100%,雷阵雨
[row=64] 三线城市,安徽,宿州,小雨,31,0,100%,小雨
[row=65] 三线城市,江苏,宿迁,多云,31,0,100%,小雨
[row=66] 三线城市,湖南,岳阳,中雨,29,0,100%,阴
[row=67] 三线城市,河北,廊坊,中雨,30,0,100%,中雨
[row=68] 三线城市,河南,开封,晴,34,0,97%,大雨
[row=69] 三线城市,山东,德州,阴,32,0,100%,雷阵雨
[row=70] 三线城市,江苏,扬州,中雨,29,0,100%,小雨
[row=71] 三线城市,广东,揭阳,晴,33,0,100%,晴
[row=72] 三线城市,河南,新乡,阴,33,0,100%,小雨
[row=73] 三线城市,山东,枣庄,阴,31,0,100%,小雨
[row=74] 三线城市,广西,柳州,阵雨,33,0,100%,阵雨
[row=75] 三线城市,湖南,株洲,中雨,32,0,100%,小雨
[row=76] 三线城市,广西,桂林,小雨,31,0,100%,阵雨
[row=77] 三线城市,广东,汕头,雷阵雨,34,0,100%,雷阵雨
[row=78] 三线城市,广东,江门,中雨,32,0,100%,多云
[row=79] 三线城市,河北,沧州,多云,35,0,100%,中雨
[row=80] 三线城市,山东,泰安,多云,33,0,100%,小雨
[row=81] 三线城市,河南,洛阳,晴,32,0,100%,小雨
[row=82] 三线城市,山东,济宁,晴,33,0,100%,小雨
[row=83] 三线城市,海南,海口,小雨,35,0,100%,小雨
[row=84] 三线城市,山东,淄博,晴,34,0,100%,多云
[row=85] 三线城市,江苏,淮安,中雨,28,0,100%,中雨
[row=86] 三线城市,广东,清远,中雨,30,0,100%,雷阵雨
[row=87] 三线城市,陕西,渭南,小雨,35,0,100%,小雨
[row=88] 三线城市,浙江,湖州,中雨,34,0,100%,小雨
[row=89] 三线城市,广东,湛江,雷阵雨,33,0,100%,雷阵雨
[row=90] 三线城市,安徽,滁州,中雨,30,0,100%,中雨
[row=91] 三线城市,广东,潮州,雷阵雨,33,0,100%,多云
[row=92] 三线城市,海南,琼海,多云,35,0,100%,多云
[row=93] 三线城市,江苏,盐城,大雨,27,0,100%,中雨
[row=94] 三线城市,四川,绵阳,晴,38,0,100%,雷阵雨
[row=95] 三线城市,山东,聊城,多云,32,0,100%,小雨
[row=96] 三线城市,广东,肇庆,中雨,31,0,100%,中雨
[row=97] 三线城市,安徽,芜湖,小雨,32,0,100%,小雨
[row=98] 三线城市,湖北,荆州,小雨,32,0,78%,小雨
[row=99] 三线城市,福建,莆田,晴,34,0,100%,晴
[row=100] 三线城市,山东,菏泽,多云,34,0,100%,小雨
[row=101] 三线城市,安徽,蚌埠,小雨,29,0,100%,小雨
[row=102] 三线城市,湖南,衡阳,阴,32,0,100%,小雨
[row=103] 三线城市,江西,赣州,多云,35,0,100%,晴
[row=104] 三线城市,山西,运城,晴,33,0,100%,晴
[row=105] 三线城市,江苏,连云港,阴,28,0,100%,小雨
[row=106] 三线城市,贵州,遵义,多云,34,0,100%,多云
[row=107] 三线城市,河北,邢台,雷阵雨,31,0,100%,雷阵雨
[row=108] 三线城市,河北,邯郸,雷阵雨,34,0,100%,雷阵雨
[row=109] 三线城市,宁夏,银川,晴,35,0,100%,晴
[row=110] 三线城市,江苏,镇江,大雨,30,0,100%,小雨
[row=111] 三线城市,安徽,阜阳,小雨,30,0,100%,小雨
[row=112] 三线城市,安徽,马鞍山,小雨,31,0,100%,小雨
[row=113] 三线城市,河南,驻马店,多云,35,0,100%,小雨
[row=114] 四线城市,福建,三明,多云,36,0,100%,晴
[row=115] 四线城市,山东,东营,小雨,34,0,100%,小雨
[row=116] 四线城市,山西,临汾,中雨,32,0,100%,小雨
[row=117] 四线城市,辽宁,丹东,多云,30,0,100%,多云
[row=118] 四线城市,浙江,丽水,多云,35,0,100%,小雨
[row=119] 四线城市,四川,乐山,晴,39,0,100%,多云
[row=120] 四线城市,广东,云浮,中雨,31,0,100%,中雨
[row=121] 四线城市,安徽,亳州,小雨,32,0,100%,小雨
[row=122] 四线城市,贵州,六盘水,多云,28,0,100%,多云
[row=123] 四线城市,四川,内江,晴,39,0,90%,多云
[row=124] 四线城市,湖北,十堰,晴,38,0,100%,小雨
[row=125] 四线城市,福建,南平,多云,35,0,100%,多云
[row=126] 四线城市,江西,吉安,雷阵雨,34,0,100%,晴
[row=127] 四线城市,吉林,吉林,小雨,30,0,100%,小雨
[row=128] 四线城市,湖北,咸宁,中雨,29,0,100%,小雨
[row=129] 四线城市,山西,大同,小雨,28,0,100%,晴
[row=130] 四线城市,黑龙江,大庆,小雨,32,0,100%,小雨
[row=131] 四线城市,云南,大理白族自治州,小雨,25,0,100%,小雨
[row=132] 四线城市,湖南,娄底,雷阵雨,31,1,50%,小雨
[row=133] 四线城市,湖北,孝感,小雨,31,0,100%,小雨
[row=134] 四线城市,四川,宜宾,晴,39,0,100%,晴
[row=135] 四线城市,陕西,宝鸡,多云,37,0,100%,小雨
[row=136] 四线城市,安徽,宣城,小雨,31,0,100%,小雨
[row=137] 四线城市,湖南,常德,小雨,31,0,100%,多云
[row=138] 四线城市,河南,平顶山,晴,34,0,100%,小雨
[row=139] 四线城市,河北,张家口,雷阵雨,30,0,100%,雷阵雨
[row=140] 四线城市,四川,德阳,晴,38,0,100%,多云
[row=141] 四线城市,湖南,怀化,小雨,32,0,100%,小雨
[row=142] 四线城市,河北,承德,雷阵雨,29,0,100%,大雨
[row=143] 四线城市,江西,抚州,雷阵雨,35,0,100%,晴
[row=144] 四线城市,海南,文昌,多云,33,0,100%,多云
[row=145] 四线城市,江西,新余,雷阵雨,33,0,100%,雷阵雨
[row=146] 四线城市,山东,日照,阴,27,0,100%,小雨
[row=147] 四线城市,云南,昭通,多云,30,0,100%,小雨
[row=148] 四线城市,山西,晋中,小雨,29,0,100%,小雨
[row=149] 四线城市,江西,景德镇,阵雨,33,0,100%,阵雨
[row=150] 四线城市,云南,曲靖,小雨,29,0,100%,小雨
[row=151] 四线城市,广东,梅州,多云,34,0,100%,晴
[row=152] 四线城市,广西,梧州,中雨,32,0,100%,阵雨
[row=153] 四线城市,陕西,榆林,小雨,28,0,75%,多云
[row=154] 四线城市,甘肃,武威,晴,34,0,100%,晴
[row=155] 四线城市,贵州,毕节,多云,31,0,67%,多云
[row=156] 四线城市,湖南,永州,小雨,33,0,100%,多云
[row=157] 四线城市,陕西,汉中,多云,38,0,100%,小雨
[row=158] 四线城市,广东,汕尾,雷阵雨,31,0,100%,晴
[row=159] 四线城市,广东,河源,多云,33,0,100%,多云
[row=160] 四线城市,四川,泸州,晴,38,0,100%,晴
[row=161] 四线城市,安徽,淮北,小雨,31,0,100%,小雨
[row=162] 四线城市,安徽,淮南,小雨,29,0,100%,中雨
[row=163] 四线城市,湖南,湘潭,雷阵雨,31,0,100%,小雨
[row=164] 四线城市,山东,滨州,小雨,35,0,100%,小雨
[row=165] 四线城市,河南,濮阳,晴,33,0,100%,小雨
[row=166] 四线城市,河南,焦作,小雨,33,0,100%,小雨
[row=167] 四线城市,广西,玉林,雷阵雨,31,0,100%,雷阵雨
[row=168] 四线城市,甘肃,白银,多云,32,0,100%,晴
[row=169] 四线城市,广西,百色,阵雨,34,0,100%,阵雨
[row=170] 四线城市,湖南,益阳,中雨,32,0.8,100%,小雨
[row=171] 四线城市,辽宁,盘锦,多云,29,0,100%,多云
[row=172] 四线城市,四川,眉山,晴,37,0,88%,多云
[row=173] 四线城市,河北,秦皇岛,雷阵雨,29,0.5,100%,中雨
[row=174] 四线城市,云南,红河哈尼族彝族自治州,小雨,30,0,100%,多云
[row=175] 四线城市,四川,自贡,晴,39,0,100%,多云
[row=176] 四线城市,浙江,舟山,小雨,33,0,100%,晴
[row=177] 四线城市,广东,茂名,雷阵雨,31,0,100%,雷阵雨
[row=178] 四线城市,辽宁,营口,多云,30,0,100%,多云
[row=179] 四线城市,河北,衡水,阴,33,0,100%,雷阵雨
[row=180] 四线城市,浙江,衢州,多云,34,0,100%,多云
[row=181] 四线城市,青海,西宁,晴,27,0,98%,晴
[row=182] 四线城市,河南,许昌,晴,34,0,100%,小雨
[row=183] 四线城市,内蒙古,赤峰,小雨,29,0,100%,小雨
[row=184] 四线城市,四川,达州,晴,38,0,100%,晴
[row=185] 四线城市,湖南,邵阳,小雨,31,0,100%,小雨
[row=186] 四线城市,湖南,郴州,雷阵雨,34,0,100%,阴
[row=187] 四线城市,湖北,鄂州,中雨,28,0,100%,小雨
[row=188] 四线城市,安徽,铜陵,阵雨,30,0,100%,多云
[row=189] 四线城市,辽宁,锦州,多云,28,0,100%,阵雨
[row=190] 四线城市,山西,长治,中雨,26,0,100%,小雨
[row=191] 四线城市,辽宁,鞍山,晴,32,0,100%,多云
[row=192] 四线城市,广东,韶关,雷阵雨,30,0,100%,多云
[row=193] 四线城市,湖北,黄冈,中雨,28,0,100%,中雨
[row=194] 四线城市,安徽,黄山,小雨,33,0,100%,晴
[row=195] 四线城市,湖北,黄石,中雨,28,0,100%,小雨
[row=196] 四线城市,贵州,黔东南苗族侗族自治州,晴,34,0,100%,晴
[row=197] 四线城市,贵州,黔南布依族苗族自治州,多云,31,0,100%,阵雨
[row=198] 四线城市,福建,龙岩,多云,34,0,100%,多云
[row=199] 五线城市,黑龙江,七台河,小雨,31,0,100%,中雨
[row=200] 五线城市,海南,万宁,多云,33,0,100%,多云
[row=201] 五线城市,海南,东方,多云,32,0,100%,多云
[row=202] 五线城市,宁夏,中卫,晴,35,0,100%,晴
[row=203] 五线城市,甘肃,临夏回族自治州,晴,29,0,100%,晴
[row=204] 五线城市,内蒙古,乌兰察布,小雨,28,0,100%,小雨
[row=205] 五线城市,湖北,仙桃,小雨,29,0,100%,小雨
[row=206] 五线城市,黑龙江,伊春,小雨,30,0,100%,小雨
[row=207] 五线城市,黑龙江,佳木斯,小雨,31,0,100%,小雨
[row=208] 五线城市,海南,儋州,雷阵雨,33,0,100%,雷阵雨
[row=209] 五线城市,四川,凉山彝族自治州,阵雨,32,0,100%,阵雨
[row=210] 五线城市,宁夏,吴忠,晴,35,0,100%,晴
[row=211] 五线城市,吉林,四平,小雨,29,0,100%,小雨
[row=212] 五线城市,宁夏,固原,晴,30,0,100%,晴
[row=213] 五线城市,甘肃,天水,多云,35,0,100%,多云
[row=214] 五线城市,陕西,安康,晴,40,0,100%,小雨
[row=215] 五线城市,广西,崇左,阵雨,31,0,100%,阵雨
[row=216] 五线城市,四川,巴中,晴,37,0,100%,多云
[row=217] 五线城市,四川,广元,雷阵雨,39,0,100%,雷阵雨
[row=218] 五线城市,四川,广安,晴,38,0,100%,晴
[row=219] 五线城市,甘肃,庆阳,小雨,30,0,100%,多云
[row=220] 五线城市,陕西,延安,小雨,28,0,100%,小雨
[row=221] 五线城市,吉林,延边,多云,31,0,100%,阴
[row=222] 五线城市,湖南,张家界,小雨,37,0,100%,小雨
[row=223] 五线城市,云南,德宏傣族景颇族自治州,小雨,30,0,100%,小雨
[row=224] 五线城市,山西,忻州,小雨,29,0,100%,小雨
[row=225] 五线城市,湖北,恩施土家族苗族自治州,小雨,37,0,100%,小雨
[row=226] 五线城市,辽宁,抚顺,阵雨,30,0,100%,阵雨
[row=227] 五线城市,云南,文山壮族苗族自治州,小雨,28,0,100%,小雨
[row=228] 五线城市,云南,普洱,多云,27,0,100%,小雨
[row=229] 五线城市,辽宁,朝阳,阴,32,0,100%,小雨
[row=230] 五线城市,辽宁,本溪,多云,31,0,100%,多云
[row=231] 五线城市,广西,来宾,阵雨,32,0,100%,阵雨
[row=232] 五线城市,吉林,松原,小雨,31,0,100%,小雨
[row=233] 五线城市,云南,楚雄彝族自治州,多云,27,0,100%,小雨
[row=234] 五线城市,安徽,池州,小雨,31,0,100%,小雨
[row=235] 五线城市,河南,济源,晴,33,0,100%,小雨
[row=236] 五线城市,湖南,湘西土家族苗族自治州,晴,35,0,100%,小雨
[row=237] 五线城市,湖北,潜江,小雨,30,0,100%,小雨
[row=238] 五线城市,云南,玉溪,小雨,28,0,100%,多云
[row=239] 五线城市,吉林,白城,阴,31,0,100%,小雨
[row=240] 五线城市,宁夏,石嘴山,晴,34,0,100%,晴
[row=241] 五线城市,黑龙江,绥化,小雨,31,0,100%,小雨
[row=242] 五线城市,湖北,荆门,小雨,32,0,100%,小雨
[row=243] 五线城市,江西,萍乡,阵雨,32,0,100%,多云
[row=244] 五线城市,辽宁,葫芦岛,多云,29,0,100%,多云
[row=245] 五线城市,云南,西双版纳傣族自治州,小雨,32,0,100%,小雨
[row=246] 五线城市,广西,贺州,小雨,31,0,100%,多云
[row=247] 五线城市,四川,资阳,晴,39,0,100%,多云
[row=248] 五线城市,吉林,辽源,阴,30,0,100%,小雨
[row=249] 五线城市,辽宁,辽阳,多云,32,0,75%,雷阵雨
[row=250] 五线城市,吉林,通化,小雨,30,0,100%,小雨
[row=251] 五线城市,内蒙古,通辽,小雨,32,0,100%,小雨
[row=252] 五线城市,四川,遂宁,晴,38,0,100%,晴
[row=253] 五线城市,甘肃,金昌,晴,38,0,100%,晴
[row=254] 五线城市,广西,钦州,中雨,30,0,100%,阵雨
[row=255] 五线城市,辽宁,铁岭,多云,31,0,100%,中雨
[row=256] 五线城市,贵州,铜仁,多云,36,0,100%,多云
[row=257] 五线城市,辽宁,阜新,多云,31,0,100%,雷阵雨
[row=258] 五线城市,广西,防城港,阵雨,31,0,100%,阵雨
[row=259] 五线城市,甘肃,陇南,小雨,31,0,100%,小雨
[row=260] 五线城市,湖北,随州,小雨,32,0,100%,小雨
[row=261] 五线城市,四川,雅安,晴,36,0,100%,雷阵雨
[row=262] 五线城市,河南,鹤壁,多云,33,0,100%,中雨
[row=263] 五线城市,江西,鹰潭,多云,36,0,100%,多云
[row=264] ,河南,三门峡,多云,32,,,多云
[row=265] ,内蒙古,兴安,雷阵雨,29,,,雷阵雨
[row=266] ,广西,北海,雷阵雨,30,,,雷阵雨
[row=267] ,山西,吕梁,小雨,29,,,小雨
[row=268] ,内蒙古,呼伦贝尔,小雨,26,,,小雨
[row=269] ,内蒙古,呼和浩特,小雨,29,,,晴
[row=270] ,陕西,商洛,晴,34,,,小雨
[row=271] ,辽宁,大连,多云,30,,,多云
[row=272] ,浙江,宁波,小雨,35,,,多云
[row=273] ,河南,安阳,小雨,32,,,小雨
[row=274] ,甘肃,定西,晴,29,,,晴
[row=275] ,云南,怒江傈僳族自治州,小雨,31,,,小雨
[row=276] ,四川,成都,多云,39,,,雷阵雨
[row=277] ,西藏,拉萨,小雨,23,,,小雨
[row=278] ,山西,朔州,小雨,28,,,小雨
[row=279] ,广西,河池,阵雨,32,,,阵雨
[row=280] ,江苏,泰州,中雨,30,,,小雨
[row=281] ,山东,潍坊,晴,33,,,小雨
[row=282] ,浙江,绍兴,小雨,36,,,多云
[row=283] ,湖北,襄阳,晴,35,,,小雨
[row=284] ,广西,贵港,中雨,32,,,阵雨
[row=285] ,重庆,重庆,晴,40,,,晴
[row=286] ,广东,阳江,雷阵雨,32,,,雷阵雨
[row=287] ,山西,阳泉,小雨,29,,,小雨
[row=288] ,黑龙江,鸡西,小雨,33,,,小雨
[row=289] ,黑龙江,鹤岗,小雨,30,,,小雨
[row=290] ,贵州,黔西南布依族苗族自治州,多云,29,,,多云
[row=291] ,,,,,,,
