城市分层,省份,城市,当天天气,温度,配送费,占比,明日天气,后日天气,大后天天气
三线城市,海南,琼海,多云,36,0.0,1.0,多云 36°C,多云 35°C,晴 34°C
三线城市,江苏,盐城,大雨,27,0.0,1.0,小雨 31°C,中雨 28°C,小雨 29°C
三线城市,四川,绵阳,晴,38,0.0,1.0,多云 37°C,雷阵雨 37°C,多云 37°C
三线城市,山东,聊城,晴,32,0.0,1.0,小雨 32°C,小雨 32°C,小雨 32°C
三线城市,广东,肇庆,中雨,32,0.0,1.0,中雨 30°C,中雨 32°C,多云 34°C
三线城市,安徽,芜湖,中雨,27,0.0,1.0,中雨 29°C,小雨 32°C,小雨 31°C
三线城市,湖北,荆州,阵雨,34,0.0,0.7778,阵雨 33°C,小雨 32°C,晴 34°C
三线城市,福建,莆田,小雨,31,0.0,1.0,多云 33°C,晴 34°C,晴 35°C
三线城市,山东,菏泽,晴,33,0.0,1.0,晴 33°C,小雨 33°C,小雨 32°C
三线城市,安徽,蚌埠,小雨,32,0.0,1.0,阴 31°C,多云 29°C,中雨 29°C
三线城市,湖南,衡阳,中雨,30,0.0,1.0,中雨 30°C,中雨 30°C,小雨 32°C
三线城市,江西,赣州,雷阵雨,33,0.0,1.0,雷阵雨 34°C,多云 35°C,多云 36°C
三线城市,山西,运城,晴,35,0.0,1.0,小雨 34°C,晴 33°C,小雨 31°C
三线城市,江苏,连云港,阴,27,0.0,1.0,晴 29°C,小雨 28°C,小雨 27°C
三线城市,贵州,遵义,多云,32,0.0,1.0,多云 33°C,多云 33°C,阵雨 32°C
三线城市,河北,邢台,多云,33,0.0,1.0,多云 31°C,阴 29°C,多云 29°C
三线城市,河北,邯郸,多云,33,0.0,1.0,多云 33°C,阴 28°C,雷阵雨 31°C
三线城市,宁夏,银川,晴,34,0.0,1.0,晴 33°C,晴 34°C,晴 36°C
三线城市,江苏,镇江,中雨,30,0.0,1.0,中雨 31°C,中雨 29°C,小雨 31°C
三线城市,安徽,阜阳,多云,33,0.0,1.0,晴 33°C,小雨 30°C,中雨 31°C
三线城市,安徽,马鞍山,中雨,27,0.0,1.0,小雨 29°C,中雨 31°C,小雨 30°C
三线城市,河南,驻马店,晴,34,0.0,1.0,晴 36°C,小雨 34°C,小雨 35°C
四线城市,福建,三明,小雨,34,0.0,1.0,小雨 35°C,多云 36°C,晴 37°C
四线城市,山东,东营,晴,31,0.0,1.0,晴 31°C,小雨 32°C,小雨 33°C
四线城市,山西,临汾,晴,32,0.0,1.0,小雨 32°C,晴 30°C,小雨 30°C
四线城市,辽宁,丹东,多云,29,0.0,1.0,多云 31°C,阵雨 31°C,小雨 30°C
四线城市,浙江,丽水,小雨,36,0.0,1.0,小雨 34°C,小雨 36°C,小雨 38°C
四线城市,四川,乐山,晴,39,0.0,1.0,晴 38°C,多云 36°C,多云 36°C
四线城市,广东,云浮,中雨,29,0.0,1.0,中雨 30°C,中雨 31°C,多云 33°C
四线城市,安徽,亳州,晴,33,0.0,1.0,晴 34°C,小雨 32°C,小雨 34°C
四线城市,贵州,六盘水,多云,27,0.0,1.0,多云 28°C,多云 26°C,多云 27°C
四线城市,四川,内江,晴,39,0.0,0.9,晴 39°C,晴 38°C,晴 39°C
四线城市,湖北,十堰,晴,39,0.0,1.0,晴 39°C,多云 36°C,中雨 35°C
四线城市,福建,南平,小雨,32,0.0,1.0,小雨 33°C,多云 34°C,多云 35°C
四线城市,江西,吉安,雷阵雨,33,0.0,1.0,雷阵雨 34°C,多云 34°C,多云 37°C
四线城市,吉林,吉林,小雨,28,0.0,1.0,小雨 30°C,小雨 31°C,小雨 30°C
四线城市,湖北,咸宁,小雨,31,0.0,1.0,中雨 28°C,中雨 29°C,小雨 34°C
四线城市,山西,大同,小雨,29,0.0,1.0,小雨 29°C,小雨 28°C,小雨 29°C
四线城市,黑龙江,大庆,多云,32,0.0,1.0,小雨 32°C,小雨 32°C,小雨 31°C
四线城市,云南,大理白族自治州,多云,27,0.0,1.0,阵雨 27°C,小雨 25°C,小雨 23°C
四线城市,湖南,娄底,小雨,28,0.3,0.5,大雨 28°C,中雨 28°C,小雨 32°C
四线城市,湖北,孝感,阵雨,34,0.0,1.0,阵雨 32°C,中雨 30°C,小雨 33°C
四线城市,四川,宜宾,晴,40,0.0,1.0,晴 39°C,多云 39°C,多云 39°C
四线城市,陕西,宝鸡,多云,38,0.0,1.0,小雨 38°C,晴 36°C,小雨 34°C
四线城市,安徽,宣城,中雨,27,0.0,1.0,中雨 27°C,小雨 31°C,小雨 32°C
四线城市,湖南,常德,小雨,31,0.0,1.0,小雨 29°C,小雨 30°C,小雨 34°C
四线城市,河南,平顶山,晴,34,0.0,1.0,晴 35°C,晴 34°C,小雨 33°C
四线城市,河北,张家口,雷阵雨,28,0.0,1.0,雷阵雨 30°C,雷阵雨 26°C,多云 29°C
四线城市,四川,德阳,晴,38,0.0,1.0,晴 37°C,晴 35°C,多云 36°C
四线城市,湖南,怀化,多云,33,0.0,1.0,小雨 32°C,小雨 33°C,小雨 32°C
四线城市,河北,承德,中雨,28,0.0,1.0,雷阵雨 30°C,中雨 28°C,多云 29°C
四线城市,江西,抚州,雷阵雨,30,0.0,1.0,雷阵雨 34°C,晴 35°C,晴 35°C
四线城市,海南,文昌,多云,33,0.0,1.0,多云 34°C,多云 33°C,小雨 33°C
四线城市,江西,新余,暴雨,28,0.0,1.0,中雨 28°C,雷阵雨 34°C,多云 35°C
四线城市,山东,日照,小雨,26,0.0,1.0,晴 27°C,阴 29°C,阴 29°C
四线城市,云南,昭通,晴,28,0.0,1.0,晴 30°C,多云 30°C,小雨 29°C
四线城市,山西,晋中,小雨,30,0.0,1.0,小雨 29°C,小雨 27°C,小雨 27°C
四线城市,江西,景德镇,中雨,28,0.0,1.0,中雨 31°C,阵雨 34°C,多云 36°C
四线城市,云南,曲靖,多云,30,0.0,1.0,晴 29°C,阵雨 28°C,小雨 28°C
四线城市,广东,梅州,雷阵雨,32,0.0,1.0,雷阵雨 33°C,多云 34°C,多云 35°C
四线城市,广西,梧州,大雨,31,0.0,1.0,中雨 31°C,阵雨 33°C,阵雨 34°C
四线城市,陕西,榆林,多云,28,0.0,0.75,阴 28°C,多云 29°C,多云 29°C
四线城市,甘肃,武威,多云,33,0.0,1.0,晴 32°C,晴 36°C,晴 35°C
四线城市,贵州,毕节,多云,29,0.0,0.6667,多云 28°C,多云 32°C,多云 29°C
四线城市,湖南,永州,中雨,28,0.0,1.0,大雨 30°C,小雨 31°C,小雨 32°C
四线城市,陕西,汉中,晴,39,0.0,1.0,小雨 39°C,晴 38°C,小雨 35°C
四线城市,广东,汕尾,雷阵雨,29,0.0,1.0,雷阵雨 30°C,晴 31°C,多云 31°C
四线城市,广东,河源,雷阵雨,31,0.0,1.0,中雨 32°C,多云 33°C,多云 34°C
四线城市,四川,泸州,晴,39,0.0,1.0,晴 38°C,晴 38°C,晴 38°C
四线城市,安徽,淮北,多云,32,0.0,1.0,多云 31°C,小雨 31°C,小雨 31°C
四线城市,安徽,淮南,小雨,32,0.0,1.0,阴 32°C,小雨 29°C,中雨 28°C
四线城市,湖南,湘潭,中雨,29,0.0,1.0,中雨 30°C,中雨 29°C,小雨 33°C
四线城市,山东,滨州,晴,34,0.0,1.0,晴 34°C,阴 34°C,小雨 34°C
四线城市,河南,濮阳,晴,32,0.0,1.0,晴 33°C,多云 33°C,小雨 32°C
四线城市,河南,焦作,晴,34,0.0,1.0,小雨 34°C,晴 34°C,小雨 33°C
四线城市,广西,玉林,大雨,31,0.0,1.0,中雨 31°C,雷阵雨 32°C,晴 33°C
四线城市,甘肃,白银,多云,29,0.0,1.0,阵雨 31°C,晴 31°C,晴 30°C
四线城市,广西,百色,阵雨,33,0.0,1.0,阵雨 34°C,阵雨 32°C,阵雨 32°C
四线城市,湖南,益阳,多云,29,0.0,1.0,中雨 29°C,中雨 32°C,小雨 32°C
四线城市,辽宁,盘锦,阵雨,29,0.0,1.0,多云 29°C,多云 30°C,多云 30°C
四线城市,四川,眉山,晴,39,0.0,0.875,晴 38°C,晴 36°C,多云 37°C
四线城市,河北,秦皇岛,雷阵雨,27,0.5,1.0,多云 27°C,雷阵雨 29°C,多云 28°C
四线城市,云南,红河哈尼族彝族自治州,多云,30,0.0,1.0,多云 31°C,阴 30°C,小雨 28°C
四线城市,四川,自贡,晴,39,0.0,1.0,晴 39°C,晴 39°C,晴 39°C
四线城市,浙江,舟山,小雨,33,0.0,1.0,小雨 32°C,小雨 32°C,小雨 34°C
四线城市,广东,茂名,雷阵雨,31,0.0,1.0,中雨 31°C,中雨 32°C,多云 32°C
四线城市,辽宁,营口,多云,29,0.0,1.0,多云 29°C,多云 29°C,多云 29°C
四线城市,河北,衡水,多云,34,0.0,1.0,多云 33°C,阴 33°C,雷阵雨 31°C
四线城市,浙江,衢州,多云,34,0.0,1.0,小雨 33°C,小雨 36°C,多云 35°C
四线城市,青海,西宁,小雨,25,0.0,0.975,小雨 26°C,多云 28°C,晴 28°C
四线城市,河南,许昌,晴,34,0.0,1.0,晴 35°C,晴 35°C,小雨 34°C
四线城市,内蒙古,赤峰,小雨,29,0.0,1.0,小雨 30°C,小雨 30°C,小雨 32°C
四线城市,四川,达州,晴,39,0.0,1.0,晴 39°C,晴 38°C,晴 38°C
四线城市,湖南,邵阳,中雨,25,0.0,1.0,小雨 29°C,小雨 30°C,小雨 31°C
四线城市,湖南,郴州,中雨,33,0.0,1.0,小雨 31°C,小雨 34°C,多云 33°C
四线城市,湖北,鄂州,小雨,32,0.0,1.0,中雨 29°C,中雨 30°C,小雨 34°C
四线城市,安徽,铜陵,雷阵雨,27,0.0,1.0,阵雨 28°C,阵雨 29°C,多云 33°C
四线城市,辽宁,锦州,多云,29,0.0,1.0,多云 29°C,多云 29°C,阵雨 28°C
四线城市,山西,长治,小雨,29,0.0,1.0,小雨 29°C,小雨 26°C,小雨 27°C
四线城市,辽宁,鞍山,晴,31,0.0,1.0,晴 31°C,多云 33°C,多云 31°C
四线城市,广东,韶关,雷阵雨,31,0.0,1.0,大雨 30°C,中雨 32°C,多云 35°C
四线城市,湖北,黄冈,小雨,32,0.0,1.0,小雨 30°C,中雨 29°C,小雨 33°C
四线城市,安徽,黄山,小雨,31,0.0,1.0,中雨 31°C,小雨 33°C,多云 34°C
四线城市,湖北,黄石,小雨,31,0.0,1.0,中雨 29°C,中雨 30°C,小雨 34°C
四线城市,贵州,黔东南苗族侗族自治州,多云,31,0.0,1.0,晴 32°C,晴 33°C,多云 32°C
四线城市,贵州,黔南布依族苗族自治州,多云,31,0.0,1.0,多云 32°C,多云 31°C,多云 31°C
四线城市,福建,龙岩,小雨,31,0.0,1.0,小雨 32°C,多云 33°C,多云 34°C
五线城市,黑龙江,七台河,阵雨,30,0.0,1.0,阵雨 30°C,阵雨 31°C,阵雨 30°C
五线城市,海南,万宁,多云,34,0.0,1.0,多云 33°C,多云 33°C,晴 33°C
五线城市,海南,东方,多云,32,0.0,1.0,多云 33°C,多云 33°C,多云 32°C
五线城市,宁夏,中卫,多云,34,0.0,1.0,晴 33°C,晴 34°C,晴 36°C
五线城市,甘肃,临夏回族自治州,小雨,29,0.0,1.0,小雨 27°C,晴 31°C,晴 29°C
五线城市,内蒙古,乌兰察布,阵雨,26,0.0,1.0,阵雨 30°C,阵雨 29°C,多云 28°C
五线城市,湖北,仙桃,阵雨,33,0.0,1.0,阵雨 30°C,中雨 29°C,小雨 33°C
五线城市,黑龙江,伊春,晴,31,0.0,1.0,多云 32°C,小雨 27°C,小雨 29°C
五线城市,黑龙江,佳木斯,多云,31,0.0,1.0,晴 31°C,阵雨 33°C,小雨 32°C
五线城市,海南,儋州,多云,34,0.0,1.0,多云 34°C,雷阵雨 34°C,多云 34°C
五线城市,四川,凉山彝族自治州,晴,32,0.0,1.0,阵雨 34°C,阵雨 31°C,阵雨 32°C
五线城市,宁夏,吴忠,多云,34,0.0,1.0,晴 33°C,晴 34°C,晴 36°C
五线城市,吉林,四平,小雨,26,0.0,1.0,阴 29°C,阴 29°C,小雨 28°C
五线城市,宁夏,固原,雷阵雨,28,0.0,1.0,雷阵雨 27°C,晴 30°C,晴 27°C
五线城市,甘肃,天水,晴,32,0.0,1.0,雷阵雨 34°C,晴 33°C,小雨 34°C
五线城市,陕西,安康,晴,40,0.0,1.0,晴 40°C,晴 39°C,小雨 38°C
五线城市,广西,崇左,中雨,30,0.0,1.0,阵雨 32°C,阵雨 30°C,阵雨 30°C
五线城市,四川,巴中,晴,38,0.0,1.0,晴 38°C,多云 37°C,多云 38°C
五线城市,四川,广元,晴,39,0.0,1.0,雷阵雨 38°C,晴 37°C,多云 37°C
五线城市,四川,广安,晴,39,0.0,1.0,晴 39°C,晴 38°C,晴 39°C
五线城市,甘肃,庆阳,多云,30,0.0,1.0,小雨 29°C,晴 30°C,小雨 32°C
五线城市,陕西,延安,多云,29,0.0,1.0,小雨 29°C,小雨 29°C,小雨 27°C
五线城市,吉林,延边,小雨,27,0.0,1.0,小雨 29°C,小雨 30°C,小雨 28°C
五线城市,湖南,张家界,多云,35,0.0,1.0,晴 35°C,小雨 35°C,小雨 37°C
五线城市,云南,德宏傣族景颇族自治州,小雨,27,0.0,1.0,阵雨 30°C,小雨 29°C,小雨 29°C
五线城市,山西,忻州,小雨,30,0.0,1.0,小雨 27°C,小雨 27°C,小雨 26°C
五线城市,湖北,恩施土家族苗族自治州,晴,38,0.0,1.0,晴 38°C,阵雨 36°C,小雨 36°C
五线城市,辽宁,抚顺,阵雨,29,0.0,1.0,阵雨 30°C,阵雨 31°C,雷阵雨 29°C
五线城市,云南,文山壮族苗族自治州,多云,30,0.0,1.0,多云 29°C,阵雨 29°C,小雨 28°C
五线城市,云南,普洱,阵雨,25,0.0,1.0,阵雨 27°C,阴 27°C,小雨 26°C
五线城市,辽宁,朝阳,雷阵雨,31,0.0,1.0,多云 32°C,阴 33°C,阴 31°C
五线城市,辽宁,本溪,阵雨,29,0.0,1.0,多云 31°C,晴 32°C,多云 31°C
五线城市,广西,来宾,大雨,30,0.0,1.0,阵雨 31°C,阵雨 32°C,阵雨 32°C
五线城市,吉林,松原,阴,30,0.0,1.0,小雨 30°C,阴 30°C,小雨 32°C
五线城市,云南,楚雄彝族自治州,多云,29,0.0,1.0,多云 29°C,多云 28°C,小雨 27°C
五线城市,安徽,池州,中雨,28,0.0,1.0,中雨 29°C,小雨 31°C,小雨 31°C
五线城市,河南,济源,晴,34,0.0,1.0,小雨 34°C,晴 34°C,小雨 33°C
五线城市,湖南,湘西土家族苗族自治州,多云,34,0.0,1.0,多云 33°C,小雨 34°C,小雨 35°C
五线城市,湖北,潜江,阵雨,34,0.0,1.0,阵雨 32°C,小雨 29°C,小雨 33°C
五线城市,云南,玉溪,多云,30,0.0,1.0,多云 29°C,多云 28°C,小雨 27°C
五线城市,吉林,白城,阴,29,0.0,1.0,中雨 30°C,小雨 31°C,小雨 28°C
五线城市,宁夏,石嘴山,多云,33,0.0,1.0,晴 33°C,晴 34°C,晴 33°C
五线城市,黑龙江,绥化,多云,30,0.0,1.0,小雨 31°C,小雨 30°C,小雨 31°C
五线城市,湖北,荆门,晴,34,0.0,1.0,阵雨 32°C,小雨 30°C,小雨 32°C
五线城市,江西,萍乡,中雨,29,0.0,1.0,阵雨 31°C,阵雨 33°C,多云 34°C
五线城市,辽宁,葫芦岛,多云,29,0.0,1.0,晴 29°C,晴 29°C,晴 29°C
五线城市,云南,西双版纳傣族自治州,小雨,29,0.0,1.0,阵雨 32°C,阵雨 32°C,小雨 31°C
五线城市,广西,贺州,大雨,30,0.0,1.0,中雨 29°C,小雨 31°C,多云 33°C
五线城市,四川,资阳,晴,39,0.0,1.0,晴 38°C,多云 37°C,多云 38°C
五线城市,吉林,辽源,小雨,26,0.0,1.0,小雨 29°C,阴 30°C,小雨 29°C
五线城市,辽宁,辽阳,阵雨,31,0.0,1.0,多云 32°C,多云 33°C,小雨 31°C
五线城市,吉林,通化,小雨,27,0.0,1.0,小雨 29°C,小雨 30°C,小雨 30°C
五线城市,内蒙古,通辽,多云,29,0.0,1.0,小雨 30°C,多云 32°C,小雨 31°C
五线城市,四川,遂宁,晴,40,0.0,1.0,晴 39°C,晴 38°C,多云 38°C
五线城市,甘肃,金昌,多云,34,0.0,1.0,多云 36°C,晴 37°C,晴 37°C
五线城市,广西,钦州,大雨,29,0.0,1.0,中雨 30°C,中雨 30°C,阵雨 32°C
五线城市,辽宁,铁岭,雷阵雨,30,0.0,1.0,多云 31°C,多云 31°C,雷阵雨 31°C
五线城市,贵州,铜仁,多云,36,0.0,1.0,晴 35°C,晴 36°C,阵雨 35°C
五线城市,辽宁,阜新,多云,29,0.0,1.0,晴 30°C,多云 31°C,多云 30°C
五线城市,广西,防城港,大雨,31,0.0,1.0,中雨 31°C,中雨 30°C,中雨 30°C
五线城市,甘肃,陇南,多云,33,0.0,1.0,小雨 32°C,小雨 33°C,小雨 32°C
五线城市,湖北,随州,阴,35,0.0,1.0,晴 35°C,小雨 31°C,小雨 33°C
五线城市,四川,雅安,晴,36,0.0,1.0,多云 35°C,晴 35°C,阵雨 33°C
五线城市,河南,鹤壁,晴,33,0.0,1.0,小雨 34°C,小雨 33°C,小雨 33°C
五线城市,江西,鹰潭,中雨,32,0.0,1.0,阵雨 33°C,阴 34°C,多云 34°C
,河南,三门峡,晴,34,,,小雨 34°C,晴 33°C,小雨 31°C
,内蒙古,兴安,多云,29,,,中雨 26°C,雷阵雨 29°C,雷阵雨 28°C
,广西,北海,雷阵雨,32,,,中雨 31°C,雷阵雨 32°C,雷阵雨 32°C
,山西,吕梁,多云,31,,,小雨 29°C,小雨 29°C,小雨 28°C
,内蒙古,呼伦贝尔,小雨,29,,,小雨 25°C,小雨 26°C,小雨 27°C
,内蒙古,呼和浩特,小雨,30,,,小雨 30°C,小雨 31°C,多云 31°C
,陕西,商洛,晴,35,,,小雨 35°C,晴 33°C,小雨 33°C
,辽宁,大连,多云,30,,,晴 30°C,多云 29°C,多云 30°C
,浙江,宁波,小雨,36,,,暴雨 34°C,小雨 33°C,小雨 36°C
,河南,安阳,多云,33,,,小雨 34°C,小雨 32°C,小雨 31°C
,甘肃,定西,多云,29,,,小雨 27°C,晴 29°C,小雨 29°C
,云南,怒江傈僳族自治州,阵雨,32,,,多云 32°C,小雨 31°C,中雨 30°C
,四川,成都,晴,39,,,多云 38°C,多云 38°C,多云 36°C
,西藏,拉萨,多云,24,,,晴 24°C,小雨 22°C,阴 23°C
,山西,朔州,小雨,29,,,小雨 28°C,小雨 27°C,小雨 29°C
,广西,河池,中雨,30,,,中雨 31°C,阵雨 31°C,阵雨 31°C
