城市分层,省份,城市,天气,温度,配送费,配送费占比,明日天气,后日天气,
二线城市,江苏,无锡,小雨,33,0.00,1.0,小雨,多云,
二线城市,云南,昆明,小雨,27,0.00,1.0,小雨,小雨,
二线城市,辽宁,沈阳,多云,31,0.00,0.9923,多云,雷阵雨,
二线城市,福建,泉州,晴,34,0.00,1.0,晴,晴,
二线城市,山东,济南,多云,33,0.00,1.0,阴,雷阵雨,
二线城市,浙江,温州,多云,35,0.00,1.0,阴,晴,
二线城市,福建,漳州,多云,34,0.00,1.0,晴,晴,
二线城市,山东,烟台,阴,28,0.00,1.0,阴,小雨,
二线城市,广东,珠海,中雨,31,0.00,1.0,晴,多云,
二线城市,河北,石家庄,雷阵雨,33,0.00,1.0,雷阵雨,多云,
二线城市,福建,福州,晴,36,0.00,1.0,晴,晴,
二线城市,贵州,贵阳,多云,31,0.00,1.0,多云,阵雨,
二线城市,浙江,金华,小雨,33,0.00,1.0,多云,小雨,
二线城市,吉林,长春,小雨,29,0.00,1.0,小雨,小雨,
三线城市,海南,三亚,小雨,33,0.00,1.0,小雨,晴,
三线城市,江西,上饶,多云,34,0.00,1.0,多云,晴,
三线城市,江西,九江,中雨,31,0.00,1.0,多云,多云,
三线城市,河南,信阳,小雨,32,0.00,1.0,小雨,小雨,
三线城市,安徽,六安,小雨,28,0.00,1.0,中雨,小雨,
三线城市,四川,南充,晴,40,0.00,1.0,晴,阵雨,
三线城市,河南,南阳,晴,35,0.00,1.0,多云,小雨,
三线城市,浙江,台州,晴,35,0.00,0.9825,晴,晴,
三线城市,河南,周口,小雨,37,0.00,1.0,小雨,小雨,
三线城市,陕西,咸阳,晴,36,0.00,1.0,多云,晴,
三线城市,河北,唐山,雷阵雨,30,0.00,1.0,中雨,雷阵雨,
三线城市,河南,商丘,晴,33,0.00,1.0,晴,小雨,
三线城市,山东,威海,阴,28,0.00,1.0,小雨,小雨,
三线城市,福建,宁德,多云,37,0.00,1.0,多云,晴,
三线城市,安徽,安庆,小雨,29,0.00,1.0,小雨,多云,
三线城市,湖北,宜昌,小雨,33,0.00,1.0,小雨,小雨,
三线城市,江西,宜春,中雨,31,0.00,1.0,雷阵雨,多云,
三线城市,安徽,宿州,小雨,31,0.00,1.0,小雨,小雨,
三线城市,江苏,宿迁,多云,31,0.00,1.0,小雨,小雨,
三线城市,湖南,岳阳,中雨,29,0.00,1.0,阴,小雨,
三线城市,河北,廊坊,中雨,30,0.00,1.0,中雨,多云,
三线城市,河南,开封,晴,34,0.00,0.9706,大雨,小雨,
三线城市,山东,德州,阴,32,0.00,1.0,雷阵雨,阴,
三线城市,江苏,扬州,中雨,29,0.00,1.0,小雨,中雨,
三线城市,广东,揭阳,晴,33,0.00,1.0,晴,多云,
三线城市,河南,新乡,阴,33,0.00,1.0,小雨,小雨,
三线城市,山东,枣庄,阴,31,0.00,1.0,小雨,小雨,
三线城市,广西,柳州,阵雨,33,0.00,1.0,阵雨,阵雨,
三线城市,湖南,株洲,中雨,32,0.00,1.0,小雨,小雨,
三线城市,广西,桂林,小雨,31,0.00,1.0,阵雨,小雨,
三线城市,广东,汕头,雷阵雨,34,0.00,1.0,雷阵雨,多云,
三线城市,广东,江门,中雨,32,0.00,1.0,多云,多云,
三线城市,河北,沧州,多云,35,0.00,1.0,中雨,多云,
三线城市,山东,泰安,多云,33,0.00,1.0,小雨,小雨,
三线城市,河南,洛阳,晴,32,0.00,1.0,小雨,小雨,
三线城市,山东,济宁,晴,33,0.00,1.0,小雨,多云,
三线城市,海南,海口,小雨,35,0.00,1.0,小雨,小雨,
三线城市,山东,淄博,晴,34,0.00,1.0,多云,小雨,
三线城市,江苏,淮安,中雨,28,0.00,1.0,中雨,中雨,
三线城市,广东,清远,中雨,30,0.00,1.0,雷阵雨,多云,
三线城市,陕西,渭南,小雨,35,0.00,1.0,小雨,晴,
三线城市,浙江,湖州,中雨,34,0.00,1.0,小雨,小雨,
三线城市,广东,湛江,雷阵雨,33,0.00,1.0,雷阵雨,多云,
三线城市,安徽,滁州,中雨,30,0.00,1.0,中雨,小雨,
三线城市,广东,潮州,雷阵雨,33,0.00,1.0,多云,多云,
三线城市,海南,琼海,多云,35,0.00,1.0,多云,晴,
三线城市,江苏,盐城,大雨,27,0.00,1.0,中雨,中雨,
三线城市,四川,绵阳,晴,38,0.00,1.0,雷阵雨,多云,
三线城市,山东,聊城,多云,32,0.00,1.0,小雨,小雨,
三线城市,广东,肇庆,中雨,31,0.00,1.0,中雨,多云,
三线城市,安徽,芜湖,小雨,32,0.00,1.0,小雨,阴,
三线城市,湖北,荆州,小雨,32,0.00,0.7778,小雨,阴,
三线城市,福建,莆田,晴,34,0.00,1.0,晴,晴,
三线城市,山东,菏泽,多云,34,0.00,1.0,小雨,小雨,
三线城市,安徽,蚌埠,小雨,29,0.00,1.0,小雨,小雨,
三线城市,湖南,衡阳,阴,32,0.00,1.0,小雨,晴,
三线城市,江西,赣州,多云,35,0.00,1.0,晴,多云,
三线城市,山西,运城,晴,33,0.00,1.0,晴,晴,
三线城市,江苏,连云港,阴,28,0.00,1.0,小雨,小雨,
三线城市,贵州,遵义,多云,34,0.00,1.0,多云,阵雨,
三线城市,河北,邢台,雷阵雨,31,0.00,1.0,雷阵雨,多云,
三线城市,河北,邯郸,雷阵雨,34,0.00,1.0,雷阵雨,雷阵雨,
三线城市,宁夏,银川,晴,35,0.00,1.0,晴,晴,
三线城市,江苏,镇江,大雨,30,0.00,1.0,小雨,小雨,
三线城市,安徽,阜阳,小雨,30,0.00,1.0,小雨,小雨,
三线城市,安徽,马鞍山,小雨,31,0.00,1.0,小雨,阴,
三线城市,河南,驻马店,多云,35,0.00,1.0,小雨,小雨,
四线城市,福建,三明,多云,36,0.00,1.0,晴,晴,
四线城市,山东,东营,小雨,34,0.00,1.0,小雨,雷阵雨,
四线城市,山西,临汾,中雨,32,0.00,1.0,小雨,晴,
四线城市,辽宁,丹东,多云,30,0.00,1.0,多云,阵雨,
四线城市,浙江,丽水,多云,35,0.00,1.0,小雨,小雨,
四线城市,四川,乐山,晴,39,0.00,1.0,多云,阵雨,
四线城市,广东,云浮,中雨,31,0.00,1.0,中雨,多云,
四线城市,安徽,亳州,小雨,32,0.00,1.0,小雨,小雨,
四线城市,贵州,六盘水,多云,28,0.00,1.0,多云,多云,
四线城市,四川,内江,晴,39,0.00,0.9,多云,阵雨,
四线城市,湖北,十堰,晴,38,0.00,1.0,小雨,小雨,
四线城市,福建,南平,多云,35,0.00,1.0,多云,晴,
四线城市,江西,吉安,雷阵雨,34,0.00,1.0,晴,晴,
四线城市,吉林,吉林,小雨,30,0.00,1.0,小雨,小雨,
四线城市,湖北,咸宁,中雨,29,0.00,1.0,小雨,阴,
四线城市,山西,大同,小雨,28,0.00,1.0,晴,晴,
四线城市,黑龙江,大庆,小雨,32,0.00,1.0,小雨,小雨,
四线城市,云南,大理白族自治州,小雨,25,0.00,1.0,小雨,小雨,
四线城市,湖南,娄底,雷阵雨,31,1.00,0.5,小雨,小雨,
四线城市,湖北,孝感,小雨,31,0.00,1.0,小雨,阴,
四线城市,四川,宜宾,晴,39,0.00,1.0,晴,阵雨,
四线城市,陕西,宝鸡,多云,37,0.00,1.0,小雨,小雨,
四线城市,安徽,宣城,小雨,31,0.00,1.0,小雨,阴,
四线城市,湖南,常德,小雨,31,0.00,1.0,多云,小雨,
四线城市,河南,平顶山,晴,34,0.00,1.0,小雨,小雨,
四线城市,河北,张家口,雷阵雨,30,0.00,1.0,雷阵雨,多云,
四线城市,四川,德阳,晴,38,0.00,1.0,多云,阵雨,
四线城市,湖南,怀化,小雨,32,0.00,1.0,小雨,小雨,
四线城市,河北,承德,雷阵雨,29,0.00,1.0,大雨,雷阵雨,
四线城市,江西,抚州,雷阵雨,35,0.00,1.0,晴,晴,
四线城市,海南,文昌,多云,33,0.00,1.0,多云,小雨,
四线城市,江西,新余,雷阵雨,33,0.00,1.0,雷阵雨,多云,
四线城市,山东,日照,阴,27,0.00,1.0,小雨,小雨,
四线城市,云南,昭通,多云,30,0.00,1.0,小雨,小雨,
四线城市,山西,晋中,小雨,29,0.00,1.0,小雨,小雨,
四线城市,江西,景德镇,阵雨,33,0.00,1.0,阵雨,多云,
四线城市,云南,曲靖,小雨,29,0.00,1.0,小雨,小雨,
四线城市,广东,梅州,多云,34,0.00,1.0,晴,多云,
四线城市,广西,梧州,中雨,32,0.00,1.0,阵雨,多云,
四线城市,陕西,榆林,小雨,28,0.00,0.75,多云,晴,
四线城市,甘肃,武威,晴,34,0.00,1.0,晴,多云,
四线城市,贵州,毕节,多云,31,0.00,0.6667,多云,阵雨,
四线城市,湖南,永州,小雨,33,0.00,1.0,多云,晴,
四线城市,陕西,汉中,多云,38,0.00,1.0,小雨,小雨,
四线城市,广东,汕尾,雷阵雨,31,0.00,1.0,晴,多云,
四线城市,广东,河源,多云,33,0.00,1.0,多云,多云,
四线城市,四川,泸州,晴,38,0.00,1.0,晴,阵雨,
四线城市,安徽,淮北,小雨,31,0.00,1.0,小雨,小雨,
四线城市,安徽,淮南,小雨,29,0.00,1.0,中雨,小雨,
四线城市,湖南,湘潭,雷阵雨,31,0.00,1.0,小雨,晴,
四线城市,山东,滨州,小雨,35,0.00,1.0,小雨,雷阵雨,
四线城市,河南,濮阳,晴,33,0.00,1.0,小雨,小雨,
四线城市,河南,焦作,小雨,33,0.00,1.0,小雨,小雨,
四线城市,广西,玉林,雷阵雨,31,0.00,1.0,雷阵雨,小雨,
四线城市,甘肃,白银,多云,32,0.00,1.0,晴,多云,
四线城市,广西,百色,阵雨,34,0.00,1.0,阵雨,阵雨,
四线城市,湖南,益阳,中雨,32,0.80,1.0,小雨,小雨,
四线城市,辽宁,盘锦,多云,29,0.00,1.0,多云,阵雨,
四线城市,四川,眉山,晴,37,0.00,0.875,多云,阵雨,
四线城市,河北,秦皇岛,雷阵雨,29,0.50,1.0,中雨,雷阵雨,
四线城市,云南,红河哈尼族彝族自治州,小雨,30,0.00,1.0,多云,小雨,
四线城市,四川,自贡,晴,39,0.00,1.0,多云,小雨,
四线城市,浙江,舟山,小雨,33,0.00,1.0,晴,晴,
四线城市,广东,茂名,雷阵雨,31,0.00,1.0,雷阵雨,多云,
四线城市,辽宁,营口,多云,30,0.00,1.0,多云,多云,
四线城市,河北,衡水,阴,33,0.00,1.0,雷阵雨,多云,
四线城市,浙江,衢州,多云,34,0.00,1.0,多云,晴,
四线城市,青海,西宁,晴,27,0.00,0.975,晴,多云,
四线城市,河南,许昌,晴,34,0.00,1.0,小雨,中雨,
四线城市,内蒙古,赤峰,小雨,29,0.00,1.0,小雨,小雨,
四线城市,四川,达州,晴,38,0.00,1.0,晴,阵雨,
四线城市,湖南,邵阳,小雨,31,0.00,1.0,小雨,小雨,
四线城市,湖南,郴州,雷阵雨,34,0.00,1.0,阴,多云,
四线城市,湖北,鄂州,中雨,28,0.00,1.0,小雨,阴,
四线城市,安徽,铜陵,阵雨,30,0.00,1.0,多云,雷阵雨,
四线城市,辽宁,锦州,多云,28,0.00,1.0,阵雨,多云,
四线城市,山西,长治,中雨,26,0.00,1.0,小雨,小雨,
四线城市,辽宁,鞍山,晴,32,0.00,1.0,多云,多云,
四线城市,广东,韶关,雷阵雨,30,0.00,1.0,多云,多云,
四线城市,湖北,黄冈,中雨,28,0.00,1.0,中雨,阴,
四线城市,安徽,黄山,小雨,33,0.00,1.0,晴,多云,
四线城市,湖北,黄石,中雨,28,0.00,1.0,小雨,阴,
四线城市,贵州,黔东南苗族侗族自治州,晴,34,0.00,1.0,晴,晴,
四线城市,贵州,黔南布依族苗族自治州,多云,31,0.00,1.0,阵雨,阵雨,
四线城市,福建,龙岩,多云,34,0.00,1.0,多云,多云,
五线城市,黑龙江,七台河,小雨,31,0.00,1.0,中雨,小雨,
五线城市,海南,万宁,多云,33,0.00,1.0,多云,多云,
五线城市,海南,东方,多云,32,0.00,1.0,多云,多云,
五线城市,宁夏,中卫,晴,35,0.00,1.0,晴,晴,
五线城市,甘肃,临夏回族自治州,晴,29,0.00,1.0,晴,晴,
五线城市,内蒙古,乌兰察布,小雨,28,0.00,1.0,小雨,小雨,
五线城市,湖北,仙桃,小雨,29,0.00,1.0,小雨,阴,
五线城市,黑龙江,伊春,小雨,30,0.00,1.0,小雨,小雨,
五线城市,黑龙江,佳木斯,小雨,31,0.00,1.0,小雨,小雨,
五线城市,海南,儋州,雷阵雨,33,0.00,1.0,雷阵雨,小雨,
五线城市,四川,凉山彝族自治州,阵雨,32,0.00,1.0,阵雨,阵雨,
五线城市,宁夏,吴忠,晴,35,0.00,1.0,晴,晴,
五线城市,吉林,四平,小雨,29,0.00,1.0,小雨,小雨,
五线城市,宁夏,固原,晴,30,0.00,1.0,晴,晴,
五线城市,甘肃,天水,多云,35,0.00,1.0,多云,多云,
五线城市,陕西,安康,晴,40,0.00,1.0,小雨,小雨,
五线城市,广西,崇左,阵雨,31,0.00,1.0,阵雨,阵雨,
五线城市,四川,巴中,晴,37,0.00,1.0,多云,阵雨,
五线城市,四川,广元,雷阵雨,39,0.00,1.0,雷阵雨,阵雨,
五线城市,四川,广安,晴,38,0.00,1.0,晴,阵雨,
五线城市,甘肃,庆阳,小雨,30,0.00,1.0,多云,晴,
五线城市,陕西,延安,小雨,28,0.00,1.0,小雨,晴,
五线城市,吉林,延边,多云,31,0.00,1.0,阴,小雨,
五线城市,湖南,张家界,小雨,37,0.00,1.0,小雨,小雨,
五线城市,云南,德宏傣族景颇族自治州,小雨,30,0.00,1.0,小雨,小雨,
五线城市,山西,忻州,小雨,29,0.00,1.0,小雨,小雨,
五线城市,湖北,恩施土家族苗族自治州,小雨,37,0.00,1.0,小雨,小雨,
五线城市,辽宁,抚顺,阵雨,30,0.00,1.0,阵雨,雷阵雨,
五线城市,云南,文山壮族苗族自治州,小雨,28,0.00,1.0,小雨,小雨,
五线城市,云南,普洱,多云,27,0.00,1.0,小雨,中雨,
五线城市,辽宁,朝阳,阴,32,0.00,1.0,小雨,雷阵雨,
五线城市,辽宁,本溪,多云,31,0.00,1.0,多云,阵雨,
五线城市,广西,来宾,阵雨,32,0.00,1.0,阵雨,阵雨,
五线城市,吉林,松原,小雨,31,0.00,1.0,小雨,中雨,
五线城市,云南,楚雄彝族自治州,多云,27,0.00,1.0,小雨,小雨,
五线城市,安徽,池州,小雨,31,0.00,1.0,小雨,阴,
五线城市,河南,济源,晴,33,0.00,1.0,小雨,小雨,
五线城市,湖南,湘西土家族苗族自治州,晴,35,0.00,1.0,小雨,小雨,
五线城市,湖北,潜江,小雨,30,0.00,1.0,小雨,阴,
五线城市,云南,玉溪,小雨,28,0.00,1.0,多云,小雨,
五线城市,吉林,白城,阴,31,0.00,1.0,小雨,中雨,
五线城市,宁夏,石嘴山,晴,34,0.00,1.0,晴,晴,
五线城市,黑龙江,绥化,小雨,31,0.00,1.0,小雨,小雨,
五线城市,湖北,荆门,小雨,32,0.00,1.0,小雨,小雨,
五线城市,江西,萍乡,阵雨,32,0.00,1.0,多云,晴,
五线城市,辽宁,葫芦岛,多云,29,0.00,1.0,多云,雷阵雨,
五线城市,云南,西双版纳傣族自治州,小雨,32,0.00,1.0,小雨,小雨,
五线城市,广西,贺州,小雨,31,0.00,1.0,多云,晴,
五线城市,四川,资阳,晴,39,0.00,1.0,多云,阵雨,
五线城市,吉林,辽源,阴,30,0.00,1.0,小雨,小雨,
五线城市,辽宁,辽阳,多云,32,0.00,0.75,雷阵雨,雷阵雨,
五线城市,吉林,通化,小雨,30,0.00,1.0,小雨,小雨,
五线城市,内蒙古,通辽,小雨,32,0.00,1.0,小雨,小雨,
五线城市,四川,遂宁,晴,38,0.00,1.0,晴,阵雨,
五线城市,甘肃,金昌,晴,38,0.00,1.0,晴,多云,
五线城市,广西,钦州,中雨,30,0.00,1.0,阵雨,阵雨,
五线城市,辽宁,铁岭,多云,31,0.00,1.0,中雨,小雨,
五线城市,贵州,铜仁,多云,36,0.00,1.0,多云,雷阵雨,
五线城市,辽宁,阜新,多云,31,0.00,1.0,雷阵雨,雷阵雨,
五线城市,广西,防城港,阵雨,31,0.00,1.0,阵雨,阵雨,
五线城市,甘肃,陇南,小雨,31,0.00,1.0,小雨,小雨,
五线城市,湖北,随州,小雨,32,0.00,1.0,小雨,阴,
五线城市,四川,雅安,晴,36,0.00,1.0,雷阵雨,阵雨,
五线城市,河南,鹤壁,多云,33,0.00,1.0,中雨,小雨,
五线城市,江西,鹰潭,多云,36,0.00,1.0,多云,晴,
,河南,三门峡,多云,32,,,多云,小雨,
,内蒙古,兴安,雷阵雨,29,,,雷阵雨,雷阵雨,
,广西,北海,雷阵雨,30,,,雷阵雨,多云,
,山西,吕梁,小雨,29,,,小雨,晴,
,内蒙古,呼伦贝尔,小雨,26,,,小雨,多云,
,内蒙古,呼和浩特,小雨,29,,,晴,晴,
,陕西,商洛,晴,34,,,小雨,小雨,
,辽宁,大连,多云,30,,,多云,多云,
,浙江,宁波,小雨,35,,,多云,晴,
,河南,安阳,小雨,32,,,小雨,小雨,
,甘肃,定西,晴,29,,,晴,多云,
,云南,怒江傈僳族自治州,小雨,31,,,小雨,小雨,
,四川,成都,多云,39,,,雷阵雨,阵雨,
,西藏,拉萨,小雨,23,,,小雨,多云,
,山西,朔州,小雨,28,,,小雨,晴,
,广西,河池,阵雨,32,,,阵雨,阵雨,
,江苏,泰州,中雨,30,,,小雨,小雨,
,山东,潍坊,晴,33,,,小雨,小雨,
,浙江,绍兴,小雨,36,,,多云,晴,
,湖北,襄阳,晴,35,,,小雨,小雨,
,广西,贵港,中雨,32,,,阵雨,多云,
,重庆,重庆,晴,40,,,晴,小雨,
,广东,阳江,雷阵雨,32,,,雷阵雨,多云,
,山西,阳泉,小雨,29,,,小雨,晴,
,黑龙江,鸡西,小雨,33,,,小雨,小雨,
,黑龙江,鹤岗,小雨,30,,,小雨,小雨,
,贵州,黔西南布依族苗族自治州,多云,29,,,多云,多云,
